Start Station,End Station,Start Line,End Line,Travel Time (minutes)
Noida Sector 15,Chhatarpur,Blue Line,Yellow Line,14
Noida Sector 15,Saket,Blue Line,Yellow Line,21
Noida Sector 15,Malviya Nagar,Blue Line,Yellow Line,21
Noida Sector 15,Hauz Khas,Blue Line,Yellow Line,21
Noida Sector 15,Green Park,Blue Line,Yellow Line,23
Noida Sector 15,AIIMS,Blue Line,Yellow Line,24
Noida Sector 15,INA,Blue Line,Yellow Line,25
Noida Sector 15,Jor Bagh,Blue Line,Yellow Line,27
Noida Sector 15,Lok Kalyan Marg,Blue Line,Yellow Line,27
Noida Sector 15,Udyog Bhawan,Blue Line,Yellow Line,29
Noida Sector 15,Central Secretariat,Blue Line,Yellow Line,30
Noida Sector 15,Patel Chowk,Blue Line,Yellow Line,31
Noida Sector 15,Rajiv Chowk,Blue Line,Yellow Line,33
Noida Sector 15,New Delhi,Blue Line,Yellow Line,34
Noida Sector 15,Chawri Bazar,Blue Line,Yellow Line,36
Noida Sector 15,Chandni Chowk,Blue Line,Yellow Line,37
Noida Sector 15,Civil Lines,Blue Line,Yellow Line,39
Noida Sector 15,Vidhan Sabha,Blue Line,Yellow Line,40
Noida Sector 15,Vishwa Vidyalaya,Blue Line,Yellow Line,41
Noida Sector 15,GTB Nagar,Blue Line,Yellow Line,41
Noida Sector 15,Model Town,Blue Line,Yellow Line,41
Noida Sector 15,Azadpur,Blue Line,Yellow Line,41
Noida Sector 15,Adarsh Nagar,Blue Line,Yellow Line,41
Noida Sector 15,Jahangirpuri,Blue Line,Yellow Line,43
Noida Sector 15,Haiderpur,Blue Line,Yellow Line,43
Noida Sector 15,Rohini Sector 18,Blue Line,Yellow Line,44
Noida Sector 15,Samaypur Badli,Blue Line,Yellow Line,45
Noida Sector 16,Dwarka Sector 21,Blue Line,Blue Line,13
Noida Sector 16,Botanical Garden,Blue Line,Blue Line,40
Noida Sector 16,Dwarka Sector 8,Blue Line,Blue Line,15
Noida Sector 16,Dwarka Sector 9,Blue Line,Blue Line,16
Noida Sector 16,Dwarka,Blue Line,Blue Line,18
Noida Sector 16,Noida Electronic City,Blue Line,Blue Line,35
Noida Sector 16,Dwarka Sector 10,Blue Line,Blue Line,18
Noida Sector 16,Dwarka Sector 11,Blue Line,Blue Line,19
Noida Sector 16,New Ashok Nagar,Blue Line,Blue Line,37
Noida Sector 16,Dwarka Sector 12,Blue Line,Blue Line,20
Noida Sector 16,Mayur Vihar Extension,Blue Line,Blue Line,37
Noida Sector 16,Dwarka Sector 13,Blue Line,Blue Line,21
Noida Sector 16,Golf Course,Blue Line,Blue Line,23
Noida Sector 16,Dwarka Sector 14,Blue Line,Blue Line,23
Noida Sector 16,Mayur Vihar -I,Blue Line,Blue Line,37
Noida Sector 16,Akshardham,Blue Line,Blue Line,37
Noida Sector 16,Dwarka Mor,Blue Line,Blue Line,25
Noida Sector 16,Nawada,Blue Line,Blue Line,24
Noida Sector 16,Indraprastha,Blue Line,Blue Line,34
Noida Sector 16,Uttam Nagar West,Blue Line,Blue Line,24
Noida Sector 16,Supreme Court,Blue Line,Blue Line,33
Noida Sector 16,Yamuna Bank,Blue Line,Blue Line,36
Noida Sector 16,Uttam Nagar East,Blue Line,Blue Line,25
Noida Sector 16,Mandi House,Blue Line,Blue Line,33
Noida Sector 16,Janakpuri West,Blue Line,Blue Line,25
Noida Sector 16,Barakhambha Road,Blue Line,Blue Line,33
Noida Sector 16,Janakpuri East,Blue Line,Blue Line,26
Noida Sector 16,Tilak Nagar,Blue Line,Blue Line,27
Noida Sector 16,Ramakrishna Ashram Marg,Blue Line,Blue Line,33
Noida Sector 16,Subhash Nagar,Blue Line,Blue Line,28
Noida Sector 16,Rajouri Garden,Blue Line,Blue Line,28
Noida Sector 16,Rajendra Place,Blue Line,Blue Line,31
Noida Sector 16,Tagore Garden,Blue Line,Blue Line,28
Noida Sector 16,Karol Bagh,Blue Line,Blue Line,32
Noida Sector 16,Jhandewalan,Blue Line,Blue Line,33
Noida Sector 16,Patel Nagar,Blue Line,Blue Line,31
Noida Sector 16,Shadipur,Blue Line,Blue Line,31
Noida Sector 16,Ramesh Nagar,Blue Line,Blue Line,30
Noida Sector 16,Kirti Nagar†,Blue Line,Blue Line,30
Noida Sector 16,Moti Nagar,Blue Line,Blue Line,31
Noida Sector 16,Laxmi Nagar,Blue Line,Blue Line branch,38
Noida Sector 16,Nirman Vihar,Blue Line,Blue Line branch,40
Noida Sector 16,Preet Vihar,Blue Line,Blue Line branch,41
Noida Sector 16,Vaishali,Blue Line,Blue Line branch,28
Noida Sector 16,Kaushambi,Blue Line,Blue Line branch,45
Noida Sector 16,Anand Vihar ISBT,Blue Line,Blue Line branch,44
Noida Sector 16,Karkarduma,Blue Line,Blue Line branch,43
Noida Sector 16,Punjabi Bagh,Blue Line,Green Line,33
Noida Sector 16,Ashok Park Main,Blue Line,Green Line,34
Noida Sector 16,Shivaji Park,Blue Line,Green Line,34
Noida Sector 16,Madipur,Blue Line,Green Line,34
Noida Sector 16,Paschim Vihar East,Blue Line,Green Line,34
Noida Sector 16,Paschim Vihar West,Blue Line,Green Line,34
Noida Sector 16,Peera Garhi,Blue Line,Green Line,34
Noida Sector 16,Udyog Nagar,Blue Line,Green Line,34
Noida Sector 16,Nangloi Railway station,Blue Line,Green Line,34
Noida Sector 16,Rajdhani Park,Blue Line,Green Line,35
Noida Sector 16,Nangloi,Blue Line,Green Line,34
Noida Sector 16,Mundka,Blue Line,Green Line,35
Noida Sector 16,Mundka Industrial Area,Blue Line,Green Line,36
Noida Sector 16,Ghevra,Blue Line,Green Line,37
Noida Sector 16,Tikri Kalan,Blue Line,Green Line,38
Noida Sector 16,Tikri Border,Blue Line,Green Line,39
Noida Sector 16,Pandit Shree Ram Sharma,Blue Line,Green Line,40
Noida Sector 16,Bahadurgarh City,Blue Line,Green Line,42
Noida Sector 16,Brigadier Hoshiyar Singh,Blue Line,Green Line,44
Noida Sector 16,Satguru Ramsingh Marg,Blue Line,Green Line branch,33
Noida Sector 16,Najafgarh,Blue Line,Grey Line,27
Noida Sector 16,Nangli,Blue Line,Grey Line,26
Noida Sector 16,Chirag Delhi,Blue Line,Magenta Line,24
Noida Sector 16,Greater Kailash,Blue Line,Magenta Line,25
Noida Sector 16,Panchsheel Park,Blue Line,Magenta Line,22
Noida Sector 16,Kalindi Kunj,Blue Line,Magenta Line,35
Noida Sector 16,Jasola Vihar Shaheen Bagh,Blue Line,Magenta Line,33
Noida Sector 16,Nehru Enclave,Blue Line,Magenta Line,27
Noida Sector 16,R.K.Puram,Blue Line,Magenta Line,19
Noida Sector 16,Okhla Bird Sanctuary,Blue Line,Magenta Line,37
Noida Sector 16,Okhla NSIC,Blue Line,Magenta Line,30
Noida Sector 16,Munirka,Blue Line,Magenta Line,18
Noida Sector 16,Shankar Vihar,Blue Line,Magenta Line,16
Noida Sector 16,Jamia Millia Islamia,Blue Line,Magenta Line,32
Noida Sector 16,Sukhdev Vihar,Blue Line,Magenta Line,31
Noida Sector 16,Vasant Vihar,Blue Line,Magenta Line,18
Noida Sector 16,Okhla Vihar,Blue Line,Magenta Line,34
Noida Sector 16,Sadar Bazaar Cantonment,Blue Line,Magenta Line,17
Noida Sector 16,Palam,Blue Line,Magenta Line,19
Noida Sector 16,Dashrath Puri,Blue Line,Magenta Line,21
Noida Sector 16,Dabri Mor-Janakpuri South,Blue Line,Magenta Line,23
Noida Sector 16,Delhi Aerocity,Blue Line,Orange Line,13
Noida Sector 16,Indira Gandhi International Airport,Blue Line,Orange Line,13
Noida Sector 16,Dhaula Kuan,Blue Line,Orange Line,22
Noida Sector 16,Shivaji Stadium,Blue Line,Orange Line,32
Noida Sector 16,Vinobapuri,Blue Line,Pink Line,29
Noida Sector 16,Bhikaji Cama Place,Blue Line,Pink Line,21
Noida Sector 16,Ashram,Blue Line,Pink Line,30
Noida Sector 16,Sarojini Nagar,Blue Line,Pink Line,23
Noida Sector 16,Sir Vishweshwaraiah Moti Bagh,Blue Line,Pink Line,22
Noida Sector 16,Hazrat Nizamuddin,Blue Line,Pink Line,32
Noida Sector 16,Durgabai Deshmukh South Campus,Blue Line,Pink Line,22
Noida Sector 16,Delhi Cantonment,Blue Line,Pink Line,21
Noida Sector 16,Mayur Vihar Pocket I,Blue Line,Pink Line,38
Noida Sector 16,Trilokpuri Sanjay Lake,Blue Line,Pink Line,40
Noida Sector 16,Shiv Vihar,Blue Line,Pink Line,24
Noida Sector 16,East Vinod Nagar – Mayur Vihar-II,Blue Line,Pink Line,40
Noida Sector 16,Mandawali – West Vinod Nagar,Blue Line,Pink Line,41
Noida Sector 16,Naraina Vihar,Blue Line,Pink Line,26
Noida Sector 16,IP Extension,Blue Line,Pink Line,42
Noida Sector 16,Mayapuri,Blue Line,Pink Line,27
Noida Sector 16,South,Blue Line,Pink Line,35
Noida Sector 16,Karkarduma Court,Blue Line,Pink Line,43
Noida Sector 16,Krishna Nagar,Blue Line,Pink Line,43
Noida Sector 16,ESI Hospital,Blue Line,Pink Line,31
Noida Sector 16,East Azad Nagar,Blue Line,Pink Line,43
Noida Sector 16,Punjabi Bagh West,Blue Line,Pink Line,33
Noida Sector 16,Jaffrabad,Blue Line,Pink Line,44
Noida Sector 16,Shakurpur,Blue Line,Pink Line,36
Noida Sector 16,Maujpur-Babarpur,Blue Line,Pink Line,46
Noida Sector 16,Gokulpuri,Blue Line,Pink Line,48
Noida Sector 16,Shalimar Bagh,Blue Line,Pink Line,41
Noida Sector 16,Majlis Park,Blue Line,Pink Line,44
Noida Sector 16,Shaheed Nagar,Blue Line,Red Line,21
Noida Sector 16,Mohan Nagar,Blue Line,Red Line,22
Noida Sector 16,Raj Bagh,Blue Line,Red Line,33
Noida Sector 16,Inderlok,Blue Line,Red Line,35
Noida Sector 16,Kashmere Gate,Blue Line,Red Line,35
Noida Sector 16,Welcome,Blue Line,Red Line,35
Noida Sector 16,Pul Bangash,Blue Line,Red Line,36
Noida Sector 16,Pratap Nagar,Blue Line,Red Line,36
Noida Sector 16,Tis Hazari,Blue Line,Red Line,37
Noida Sector 16,Shastri Park,Blue Line,Red Line,40
Noida Sector 16,Seelampur,Blue Line,Red Line,42
Noida Sector 16,Shastri Nagar,Blue Line,Red Line,35
Noida Sector 16,Shaheed Sthal,Blue Line,Red Line,58
Noida Sector 16,Shahdara,Blue Line,Red Line,44
Noida Sector 16,Jhilmil,Blue Line,Red Line,47
Noida Sector 16,Mansarovar Park,Blue Line,Red Line,46
Noida Sector 16,Dilshad Garden,Blue Line,Red Line,48
Noida Sector 16,Arthala,Blue Line,Red Line,56
Noida Sector 16,Major Mohit Sharma,Blue Line,Red Line,52
Noida Sector 16,Kanhaiya Nagar,Blue Line,Red Line,36
Noida Sector 16,Keshav Puram,Blue Line,Red Line,37
Noida Sector 16,Netaji Subhash Place,Blue Line,Red Line,38
Noida Sector 16,Kohat Enclave,Blue Line,Red Line,38
Noida Sector 16,Shyam Park,Blue Line,Red Line,46
Noida Sector 16,Pitam Pura,Blue Line,Red Line,38
Noida Sector 16,Rohini East,Blue Line,Red Line,39
Noida Sector 16,Rohini West,Blue Line,Red Line,40
Noida Sector 16,Rithala,Blue Line,Red Line,41
Noida Sector 16,Hindon,Blue Line,Red Line,83
Noida Sector 16,Lal Qila,Blue Line,Violet Line,1763
Noida Sector 16,Raja Nahar Singh,Blue Line,Violet Line,42
Noida Sector 16,Sant Surdas (Sihi),Blue Line,Violet Line,40
Noida Sector 16,Escorts Mujesar,Blue Line,Violet Line,39
Noida Sector 16,Bata Chowk,Blue Line,Violet Line,38
Noida Sector 16,Neelam Chowk Ajronda,Blue Line,Violet Line,37
Noida Sector 16,Mewala Maharajpur,Blue Line,Violet Line,33
Noida Sector 16,Badarpur Border,Blue Line,Violet Line,33
Noida Sector 16,Tughlakabad Station,Blue Line,Violet Line,32
Noida Sector 16,Mohan Estate,Blue Line,Violet Line,32
Noida Sector 16,Sarita Vihar,Blue Line,Violet Line,31
Noida Sector 16,Jasola Apollo,Blue Line,Violet Line,31
Noida Sector 16,Harkesh Nagar Okhla,Blue Line,Violet Line,30
Noida Sector 16,Govind Puri,Blue Line,Violet Line,29
Noida Sector 16,Sector 28,Blue Line,Violet Line,14
Noida Sector 16,Nehru Place,Blue Line,Violet Line,28
Noida Sector 16,Kalkaji Mandir,Blue Line,Violet Line,29
Noida Sector 16,Kailash Colony,Blue Line,Violet Line,27
Noida Sector 16,Moolchand,Blue Line,Violet Line,26
Noida Sector 16,Lajpat Nagar,Blue Line,Violet Line,27
Noida Sector 16,Jangpura,Blue Line,Violet Line,29
Noida Sector 16,Jawaharlal Nehru Stadium,Blue Line,Violet Line,28
Noida Sector 16,Khan Market,Blue Line,Violet Line,29
Noida Sector 16,Janpath,Blue Line,Violet Line,29
Noida Sector 16,ITO,Blue Line,Violet Line,34
Noida Sector 16,Delhi Gate,Blue Line,Violet Line,35
Noida Sector 16,Jama Masjid,Blue Line,Violet Line,37
Noida Sector 16,Sarai,Blue Line,Violet Line,35
Noida Sector 16,HUDA City Centre,Blue Line,Yellow Line,5
Noida Sector 16,Sultanpur,Blue Line,Yellow Line,32
Noida Sector 16,IFFCO Chowk,Blue Line,Yellow Line,3
Noida Sector 16,MG Road,Blue Line,Yellow Line,1
Noida Sector 16,Arjan Garh,Blue Line,Yellow Line,6
Noida Sector 16,Sikandarpur,Blue Line,Yellow Line,2
Noida Sector 16,Guru Dronacharya,Blue Line,Yellow Line,3
Noida Sector 16,Ghitorni,Blue Line,Yellow Line,10
Noida Sector 16,Chhatarpur,Blue Line,Yellow Line,14
Noida Sector 16,Saket,Blue Line,Yellow Line,21
Noida Sector 16,Malviya Nagar,Blue Line,Yellow Line,21
Noida Sector 16,Hauz Khas,Blue Line,Yellow Line,21
Noida Sector 16,Green Park,Blue Line,Yellow Line,23
Noida Sector 16,AIIMS,Blue Line,Yellow Line,24
Noida Sector 16,INA,Blue Line,Yellow Line,25
Noida Sector 16,Jor Bagh,Blue Line,Yellow Line,27
Noida Sector 16,Lok Kalyan Marg,Blue Line,Yellow Line,27
Noida Sector 16,Udyog Bhawan,Blue Line,Yellow Line,29
Noida Sector 16,Central Secretariat,Blue Line,Yellow Line,30
Noida Sector 16,Patel Chowk,Blue Line,Yellow Line,31
Noida Sector 16,Rajiv Chowk,Blue Line,Yellow Line,33
Noida Sector 16,New Delhi,Blue Line,Yellow Line,34
Noida Sector 16,Chawri Bazar,Blue Line,Yellow Line,36
Noida Sector 16,Chandni Chowk,Blue Line,Yellow Line,37
Noida Sector 16,Civil Lines,Blue Line,Yellow Line,39
Noida Sector 16,Vidhan Sabha,Blue Line,Yellow Line,40
Noida Sector 16,Vishwa Vidyalaya,Blue Line,Yellow Line,41
Noida Sector 16,GTB Nagar,Blue Line,Yellow Line,41
Noida Sector 16,Model Town,Blue Line,Yellow Line,41
Noida Sector 16,Azadpur,Blue Line,Yellow Line,41
Noida Sector 16,Adarsh Nagar,Blue Line,Yellow Line,41
Noida Sector 16,Jahangirpuri,Blue Line,Yellow Line,43
Noida Sector 16,Haiderpur,Blue Line,Yellow Line,43
Noida Sector 16,Rohini Sector 18,Blue Line,Yellow Line,44
Noida Sector 16,Samaypur Badli,Blue Line,Yellow Line,45
Noida Sector 18,Dwarka Sector 21,Blue Line,Blue Line,13
Noida Sector 18,Botanical Garden,Blue Line,Blue Line,40
Noida Sector 18,Dwarka Sector 8,Blue Line,Blue Line,15
Noida Sector 18,Dwarka Sector 9,Blue Line,Blue Line,16
Noida Sector 18,Dwarka,Blue Line,Blue Line,18
Noida Sector 18,Noida Electronic City,Blue Line,Blue Line,35
Noida Sector 18,Dwarka Sector 10,Blue Line,Blue Line,18
Noida Sector 18,Dwarka Sector 11,Blue Line,Blue Line,19
Noida Sector 18,New Ashok Nagar,Blue Line,Blue Line,37
Noida Sector 18,Dwarka Sector 12,Blue Line,Blue Line,20
